start_station_id,hour,day_of_week,day_of_month,weekend,workingday,is_rush_hour,demand
BK-A3,0,1,22,1,0,0,1
BK-A3,5,3,10,0,1,0,1
BK-A3,5,4,18,0,1,0,1
BK-A3,5,7,21,1,0,0,1
BK-A3,6,4,11,0,1,0,2
BK-A3,6,4,18,0,1,0,1
BK-A3,6,6,6,0,1,0,2
BK-A3,6,6,20,0,1,0,1
BK-A3,7,1,22,1,0,1,1
BK-A3,7,2,2,0,1,1,1
BK-A3,7,2,23,0,1,1,1
BK-A3,7,2,30,0,1,1,1
BK-A3,7,3,3,0,1,1,1
BK-A3,7,3,10,0,1,1,1
BK-A3,7,3,17,0,1,1,1
BK-A3,7,3,24,0,1,1,2
BK-A3,7,4,4,0,1,1,2
BK-A3,7,4,11,0,1,1,1
BK-A3,7,4,25,0,1,1,1
BK-A3,7,5,5,0,1,1,2
BK-A3,7,5,12,0,1,1,2
BK-A3,7,5,19,0,1,1,1
BK-A3,7,5,26,0,1,1,1
BK-A3,7,6,6,0,1,1,1
BK-A3,7,6,27,0,1,1,1
BK-A3,7,7,7,1,0,1,1
BK-A3,8,1,29,1,0,1,1
BK-A3,8,2,2,0,1,1,1
BK-A3,8,2,9,0,1,1,2
BK-A3,8,2,16,0,1,1,1
BK-A3,8,2,23,0,1,1,1
BK-A3,8,3,3,0,1,1,5
BK-A3,8,3,10,0,1,1,2
BK-A3,8,3,17,0,1,1,1
BK-A3,8,4,4,0,1,1,1
BK-A3,8,4,11,0,1,1,1
BK-A3,8,4,18,0,1,1,2
BK-A3,8,4,25,0,1,1,2
BK-A3,8,5,5,0,1,1,1
BK-A3,8,5,12,0,1,1,4
BK-A3,8,5,19,0,1,1,2
BK-A3,8,5,26,0,1,1,2
BK-A3,8,6,20,0,1,1,1
BK-A3,8,6,27,0,1,1,1
BK-A3,9,1,1,1,0,1,1
BK-A3,9,2,9,0,1,1,1
BK-A3,9,2,16,0,1,1,1
BK-A3,9,2,30,0,1,1,1
BK-A3,9,3,3,0,1,1,2
BK-A3,9,3,24,0,1,1,2
BK-A3,9,4,4,0,1,1,2
BK-A3,9,4,11,0,1,1,1
BK-A3,9,5,12,0,1,1,1
BK-A3,9,5,26,0,1,1,1
BK-A3,9,6,13,0,1,1,2
BK-A3,9,7,14,1,0,1,1
BK-A3,10,1,29,1,0,0,1
BK-A3,10,2,2,0,1,0,2
BK-A3,10,2,30,0,1,0,1
BK-A3,10,3,10,0,1,0,1
BK-A3,10,3,17,0,1,0,2
BK-A3,10,4,11,0,1,0,1
BK-A3,10,4,18,0,1,0,1
BK-A3,10,4,25,0,1,0,1
BK-A3,10,5,12,0,1,0,1
BK-A3,10,6,20,0,1,0,1
BK-A3,10,7,21,1,0,0,1
BK-A3,11,1,1,1,0,0,1
BK-A3,11,1,8,1,0,0,1
BK-A3,11,1,15,1,0,0,1
BK-A3,11,1,22,1,0,0,1
BK-A3,11,1,29,1,0,0,2
BK-A3,11,2,9,0,1,0,1
BK-A3,11,2,30,0,1,0,1
BK-A3,11,3,3,0,1,0,1
BK-A3,11,3,10,0,1,0,1
BK-A3,11,4,4,0,1,0,2
BK-A3,11,5,5,0,1,0,2
BK-A3,11,5,19,0,1,0,1
BK-A3,11,5,26,0,1,0,1
BK-A3,11,6,6,0,1,0,1
BK-A3,11,6,13,0,1,0,1
BK-A3,11,7,28,1,0,0,1
BK-A3,12,1,15,1,0,0,2
BK-A3,12,1,29,1,0,0,2
BK-A3,12,3,17,0,1,0,1
BK-A3,12,4,11,0,1,0,1
BK-A3,12,5,19,0,1,0,1
BK-A3,12,6,20,0,1,0,2
BK-A3,12,7,7,1,0,0,1
BK-A3,12,7,14,1,0,0,5
BK-A3,12,7,28,1,0,0,1
BK-A3,13,1,1,1,0,0,1
BK-A3,13,1,15,1,0,0,1
BK-A3,13,4,18,0,1,0,2
BK-A3,13,5,12,0,1,0,1
BK-A3,13,6,13,0,1,0,2
BK-A3,13,7,14,1,0,0,2
BK-A3,14,2,30,0,1,0,1
BK-A3,14,3,3,0,1,0,1
BK-A3,14,3,10,0,1,0,1
BK-A3,14,4,4,0,1,0,1
BK-A3,14,5,19,0,1,0,1
BK-A3,14,5,26,0,1,0,2
BK-A3,14,6,13,0,1,0,2
BK-A3,14,6,20,0,1,0,1
BK-A3,14,6,27,0,1,0,1
BK-A3,15,1,22,1,0,0,1
BK-A3,15,2,9,0,1,0,2
BK-A3,15,4,4,0,1,0,1
BK-A3,15,4,11,0,1,0,1
BK-A3,15,6,6,0,1,0,1
BK-A3,15,6,20,0,1,0,1
BK-A3,15,7,7,1,0,0,1
BK-A3,15,7,28,1,0,0,3
BK-A3,16,1,8,1,0,0,2
BK-A3,16,1,22,1,0,0,1
BK-A3,16,1,29,1,0,0,1
BK-A3,16,2,9,0,1,0,1
BK-A3,16,2,16,0,1,0,1
BK-A3,16,2,30,0,1,0,1
BK-A3,16,3,10,0,1,0,1
BK-A3,16,4,18,0,1,0,2
BK-A3,16,5,5,0,1,0,1
BK-A3,16,5,12,0,1,0,2
BK-A3,16,5,19,0,1,0,4
BK-A3,16,7,7,1,0,0,1
BK-A3,16,7,14,1,0,0,1
BK-A3,17,1,29,1,0,1,1
BK-A3,17,2,16,0,1,1,1
BK-A3,17,3,3,0,1,1,1
BK-A3,17,3,24,0,1,1,3
BK-A3,17,4,18,0,1,1,1
BK-A3,17,4,25,0,1,1,2
BK-A3,17,5,5,0,1,1,1
BK-A3,17,5,19,0,1,1,1
BK-A3,17,5,26,0,1,1,1
BK-A3,17,6,6,0,1,1,2
BK-A3,17,6,13,0,1,1,2
BK-A3,17,6,20,0,1,1,1
BK-A3,17,6,27,0,1,1,1
BK-A3,17,7,7,1,0,1,1
BK-A3,17,7,14,1,0,1,1
BK-A3,17,7,21,1,0,1,4
BK-A3,17,7,28,1,0,1,2
BK-A3,18,1,1,1,0,1,3
BK-A3,18,2,9,0,1,1,1
BK-A3,18,2,16,0,1,1,1
BK-A3,18,3,3,0,1,1,1
BK-A3,18,3,10,0,1,1,2
BK-A3,18,4,4,0,1,1,1
BK-A3,18,5,12,0,1,1,1
BK-A3,18,7,7,1,0,1,1
BK-A3,18,7,21,1,0,1,1
BK-A3,18,7,28,1,0,1,2
BK-A3,19,3,3,0,1,1,1
BK-A3,19,3,10,0,1,1,2
BK-A3,19,3,17,0,1,1,3
BK-A3,19,4,4,0,1,1,1
BK-A3,19,4,11,0,1,1,1
BK-A3,19,5,26,0,1,1,1
BK-A3,19,6,13,0,1,1,1
BK-A3,19,7,14,1,0,1,1
BK-A3,19,7,21,1,0,1,1
BK-A3,20,1,15,1,0,0,1
BK-A3,20,2,2,0,1,0,2
BK-A3,20,2,9,0,1,0,1
BK-A3,20,2,30,0,1,0,1
BK-A3,20,3,24,0,1,0,1
BK-A3,20,4,4,0,1,0,2
BK-A3,20,4,11,0,1,0,1
BK-A3,20,4,25,0,1,0,1
BK-A3,20,5,5,0,1,0,1
BK-A3,20,6,13,0,1,0,1
BK-A3,20,6,20,0,1,0,2
BK-A3,20,7,14,1,0,0,1
BK-A3,21,1,1,1,0,0,1
BK-A3,21,2,2,0,1,0,1
BK-A3,21,2,16,0,1,0,1
BK-A3,21,4,25,0,1,0,1
BK-A3,22,5,12,0,1,0,1
BK-A3,22,6,6,0,1,0,2
BK-A3,22,6,13,0,1,0,1
BK-A3,22,6,27,0,1,0,1
BK-A3,23,3,17,0,1,0,1
BK-A3,23,4,4,0,1,0,1
BK-A3,23,4,18,0,1,0,1
BK-A7,0,1,1,1,0,0,1
BK-A7,1,6,13,0,1,0,1
BK-A7,4,7,14,1,0,0,1
BK-A7,5,1,1,1,0,0,1
BK-A7,5,1,29,1,0,0,1
BK-A7,5,2,30,0,1,0,1
BK-A7,5,3,17,0,1,0,1
BK-A7,5,3,24,0,1,0,1
BK-A7,5,4,4,0,1,0,1
BK-A7,5,5,5,0,1,0,1
BK-A7,5,5,12,0,1,0,1
BK-A7,5,6,13,0,1,0,1
BK-A7,6,2,2,0,1,0,1
BK-A7,6,3,3,0,1,0,1
BK-A7,6,5,5,0,1,0,1
BK-A7,7,2,9,0,1,1,1
BK-A7,7,2,30,0,1,1,1
BK-A7,7,4,18,0,1,1,1
BK-A7,7,5,5,0,1,1,2
BK-A7,7,5,12,0,1,1,1
BK-A7,7,5,19,0,1,1,1
BK-A7,7,5,26,0,1,1,1
BK-A7,7,6,6,0,1,1,1
BK-A7,7,6,13,0,1,1,1
BK-A7,8,2,2,0,1,1,3
BK-A7,8,2,16,0,1,1,1
BK-A7,8,3,3,0,1,1,1
BK-A7,8,3,24,0,1,1,3
BK-A7,8,4,4,0,1,1,1
BK-A7,8,4,11,0,1,1,2
BK-A7,8,4,18,0,1,1,2
BK-A7,8,5,5,0,1,1,2
BK-A7,8,5,19,0,1,1,2
BK-A7,8,5,26,0,1,1,1
BK-A7,8,6,6,0,1,1,1
BK-A7,8,6,13,0,1,1,1
BK-A7,8,6,27,0,1,1,1
BK-A7,8,7,7,1,0,1,1
BK-A7,8,7,14,1,0,1,2
BK-A7,9,1,8,1,0,1,1
BK-A7,9,1,15,1,0,1,1
BK-A7,9,2,2,0,1,1,1
BK-A7,9,2,9,0,1,1,1
BK-A7,9,2,23,0,1,1,1
BK-A7,9,2,30,0,1,1,1
BK-A7,9,3,3,0,1,1,1
BK-A7,9,3,10,0,1,1,1
BK-A7,9,4,11,0,1,1,2
BK-A7,9,4,18,0,1,1,1
